Date/Time,Energy Produced (Wh)
2014-06-22,36466
2014-06-23,45450
2014-06-24,47521
2014-06-25,34158
2014-06-26,39336
2014-06-27,31807
2014-06-28,46465
2014-06-29,46922
2014-06-30,43342
2014-07-01,43991
2014-07-02,41865
2014-07-03,35912
2014-07-04,21637
2014-07-05,53175
2014-07-06,52613
2014-07-07,48014
2014-07-08,40512
2014-07-09,38204
2014-07-10,38810
2014-07-11,48328
2014-07-12,48215
2014-07-13,28458
2014-07-14,25618
2014-07-15,21872
2014-07-16,39946
2014-07-17,47419
2014-07-18,47428
2014-07-19,27133
2014-07-20,37979
2014-07-21,46577
2014-07-22,40806
2014-07-23,44072
2014-07-24,37248
2014-07-25,46769
2014-07-26,28347
2014-07-27,33263
2014-07-28,38280
2014-07-29,39531
2014-07-30,47977
2014-07-31,39611
2014-08-01,25714
2014-08-02,15567
2014-08-03,18159
2014-08-04,41918
2014-08-05,45945
2014-08-06,30019
2014-08-07,49351
2014-08-08,48279
2014-08-09,46589
2014-08-10,44983
2014-08-11,44612
2014-08-12,10754
2014-08-13,29207
2014-08-14,48360
2014-08-15,40559
2014-08-16,41660
2014-08-17,27961
2014-08-18,48353
2014-08-19,42848
2014-08-20,38324
2014-08-21,36319
2014-08-22,19492
2014-08-23,13157
2014-08-24,41319
2014-08-25,49410
2014-08-26,46137
2014-08-27,48121
2014-08-28,51550
2014-08-29,46858
2014-08-30,26591
2014-08-31,28929
2014-09-01,32389
2014-09-02,40730
2014-09-03,40698
2014-09-04,45363
2014-09-05,23223
2014-09-06,27824
2014-09-07,43778
2014-09-08,21426
2014-09-09,20827
2014-09-10,43707
2014-09-11,22055
2014-09-12,49830
2014-09-13,7820
2014-09-14,50417
2014-09-15,48651
2014-09-16,16067
2014-09-17,46589
2014-09-18,36371
2014-09-19,42893
2014-09-20,35755
2014-09-21,17081
2014-09-22,26224
2014-09-23,47920
2014-09-24,25224
2014-09-25,11928
2014-09-26,46465
2014-09-27,45586
2014-09-28,40224
2014-09-29,15987
2014-09-30,35898
2014-10-01,10223
2014-10-02,12974
2014-10-03,31786
2014-10-04,16095
2014-10-05,46687
2014-10-06,45523
2014-10-07,22316
2014-10-08,40533
2014-10-09,31903
2014-10-10,16328
2014-10-11,3381
2014-10-12,45835
2014-10-13,5470
2014-10-14,26114
2014-10-15,10099
2014-10-16,30873
2014-10-17,37586
2014-10-18,19356
2014-10-19,37878
2014-10-20,32475
2014-10-21,33507
2014-10-22,3198
2014-10-23,8272
2014-10-24,29185
2014-10-25,37326
2014-10-26,34969
2014-10-27,38423
2014-10-28,24776
2014-10-29,13610
2014-10-30,31655
2014-10-31,8956
2014-11-01,3067
2014-11-02,28704
2014-11-03,33354
2014-11-04,27391
2014-11-05,8092
2014-11-06,1658
2014-11-07,13818
2014-11-08,29609
2014-11-09,22848
2014-11-10,30201
2014-11-11,21914
2014-11-12,15349
2014-11-13,10441
2014-11-14,26669
2014-11-15,32193
2014-11-16,5521
2014-11-17,1447
2014-11-18,33412
2014-11-19,32155
2014-11-20,22558
2014-11-21,32633
2014-11-22,27452
2014-11-23,26412
2014-11-24,15736
2014-11-25,7458
2014-11-26,271
2014-11-27,4691
2014-11-28,24066
2014-11-29,5635
2014-11-30,9944
2014-12-01,10949
2014-12-02,2867
2014-12-03,2235
2014-12-04,25733
2014-12-05,5452
2014-12-06,1880
2014-12-07,27418
2014-12-08,9829
2014-12-09,2771
2014-12-10,6900
2014-12-11,3889
2014-12-12,13558
2014-12-13,14681
2014-12-14,8085
2014-12-15,20675
2014-12-16,10697
2014-12-17,14581
2014-12-18,9427
2014-12-19,13358
2014-12-20,3561
2014-12-21,5791
2014-12-22,4273
2014-12-23,3137
2014-12-24,1373
2014-12-25,16161
2014-12-26,26893
2014-12-27,25206
2014-12-28,6971
2014-12-29,19386
2014-12-30,18866
2014-12-31,27290
2015-01-01,28261
2015-01-02,24211
2015-01-03,2880
2015-01-04,2672
2015-01-05,29042
2015-01-06,952
2015-01-07,12392
2015-01-08,25268
2015-01-09,18110
2015-01-10,32114
2015-01-11,30700
2015-01-12,1675
2015-01-13,30808
2015-01-14,9629
2015-01-15,14154
2015-01-16,25348
2015-01-17,32613
2015-01-18,800
2015-01-19,14922
2015-01-20,16949
2015-01-21,8765
2015-01-22,11838
2015-01-23,29861
2015-01-24,1946
2015-01-25,17351
2015-01-26,843
2015-01-27,296
2015-01-28,18651
2015-01-29,17505
2015-01-30,15762
2015-01-31,39924
2015-02-01,15609
2015-02-02,1858
2015-02-03,31096
2015-02-04,22209
2015-02-05,30151
2015-02-06,20641
2015-02-07,17084
2015-02-08,12284
2015-02-09,2358
2015-02-10,24319
2015-02-11,43578
2015-02-12,14326
2015-02-13,47682
2015-02-14,6934
2015-02-15,9146
2015-02-16,13149
2015-02-17,2190
2015-02-18,19295
2015-02-19,28018
2015-02-20,38930
2015-02-21,6773
2015-02-22,13169
2015-02-23,28936
2015-02-24,48902
2015-02-25,48620
2015-02-26,26356
2015-02-27,51883
2015-02-28,52642
2015-03-01,5591
2015-03-02,33573
2015-03-03,14625
2015-03-04,11552
2015-03-05,3
2015-03-06,788
2015-03-07,8439
2015-03-08,38195
2015-03-09,43983
2015-03-10,17406
2015-03-11,36101
2015-03-12,54841
2015-03-13,47556
2015-03-14,5014
2015-03-15,6050
2015-03-16,33043
2015-03-17,27664
2015-03-18,56663
2015-03-19,52019
2015-03-20,1388
2015-03-21,9245
2015-03-22,52238
2015-03-23,57453
2015-03-24,26261
2015-03-25,27527
2015-03-26,6691
2015-03-27,13559
2015-03-28,51021
2015-03-29,58482
2015-03-30,26191
2015-03-31,20459
2015-04-01,56271
2015-04-02,54163
2015-04-03,9676
2015-04-04,56510
2015-04-05,47614
2015-04-06,53053
2015-04-07,17738
2015-04-08,7273
2015-04-09,5678
2015-04-10,11452
2015-04-11,56171
2015-04-12,56003
2015-04-13,49525
2015-04-14,10475
2015-04-15,51732
2015-04-16,51013
2015-04-17,15174
2015-04-18,51752
2015-04-19,50238
2015-04-20,13362
2015-04-21,50240
2015-04-22,38876
2015-04-23,29731
2015-04-24,50199
2015-04-25,51550
2015-04-26,42754
2015-04-27,27292
2015-04-28,47468
2015-04-29,53402
2015-04-30,47859
2015-05-01,32077
2015-05-02,49243
2015-05-03,50244
2015-05-04,47380
2015-05-05,35359
2015-05-06,23533
2015-05-07,50400
2015-05-08,48360
2015-05-09,17022
2015-05-10,33437
2015-05-11,31652
2015-05-12,38254
2015-05-13,34244
2015-05-14,52586
2015-05-15,42513
2015-05-16,32987
2015-05-17,34089
2015-05-18,12488
2015-05-19,30508
2015-05-20,40111
2015-05-21,11855
2015-05-22,47211
2015-05-23,54988
2015-05-24,50611
2015-05-25,46894
2015-05-26,49009
2015-05-27,30169
2015-05-28,33819
2015-05-29,50552
2015-05-30,37548
2015-05-31,41048
